,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,Microbe_Location,colony,Date_16S,Date_ITS2,16S_double_band
,122023_BEL_CBC_T4_537_PSTR,Healthy,11_19_2024,5.22,UML_NARWHAL_R2_B13,,,4_79,9_10_2025,12_16_2025,
,062024_BEL_CBC_T3_1436_MCAV,Healthy,12_5_2024,64.4,UML_NARWHAL_R2_B15,,,3_21,9_10_2025,12_16_2025,
,022024_BEL_CBC_T3_844_OFAV,Healthy,11_26_2024,110,UML_NARWHAL_R2_B13,,,3_38,9_10_2025,12_17_2025,
,122023_BEL_CBC_T3_523_MCAV,Healthy,11_19_2024,33,UML_NARWHAL_R2_B13,,,3_2,9_10_2025,12_17_2025,
,122022_BEL_CBC_T3_116_PAST,Healthy,9_11_2024,30.9,UML_NARWHAL_R2_B29,10_6_2024,UML_NARWHAL_R6_B30,3_6,9_10_2025,12_17_2025,
,022024_BEL_CBC_T4_873_MCAV,Healthy,11_26_2024,81.4,UML_NARWHAL_R2_B13,,,4_76,9_10_2025,12_17_2025,
,122023_BEL_CBC_T1_506_PAST,Healthy,11_18_2024,3.44,UML_NARWHAL_R2_B13,,,1_2,9_10_2025,12_17_2025,
,112023_BEL_CBC_T2_306_MCAV,Healthy,11_13_2024,32.8,UML_NARWHAL_R2_B12,,,2_69,9_10_2025,12_17_2025,
,042024_BEL_CBC_T4_1045_MCAV,Healthy,12_3_2024,70.5,UML_NARWHAL_R2_B14,,,4_76,9_10_2025,12_17_2025,
,022024_BEL_CBC_T2_806_SSID,Diseased_Margin,11_4_2024,2.46,UML_NARWHAL_R2_B11,,,2_72,9_10_2025,12_17_2025,
,092023_BEL_CBC_T2_175_PAST,Healthy,11_8_2024,31.6,UML_NARWHAL_R2_B12,,,2_68,9_10_2025,12_17_2025,
,022024_BEL_CBC_T2_810_SSID,Healthy,11_22_2024,81.2,UML_NARWHAL_R2_B13,,,2_99,9_10_2025,12_17_2025,
,092023_BEL_CBC_T4_95_OFAV,Healthy,11_12_2024,79.6,UML_NARWHAL_R2_B12,,,4_78,9_10_2025,12_17_2025,
,112023_BEL_CBC_T4_398_PSTR,Healthy,11_15_2024,3.08,UML_NARWHAL_R2_B12,,,4_79,9_10_2025,12_17_2025,
,122022_BEL_CBC_T1_158_PAST,Healthy,8_19_2024,2.53,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",9_28_2024,UML_NARWHAL_R6_B30,1_2,10_14_2025,12_17_2025,
,122023_BEL_CBC_T3_533_OFAV,Healthy,11_19_2024,51.2,UML_NARWHAL_R2_B13,,,3_39,10_14_2025,12_17_2025,
,022024_BEL_CBC_T3_854_PAST,Healthy,11_26_2024,36,UML_NARWHAL_R2_B13,,,3_34,10_14_2025,12_17_2025,
,082024_BEL_CBC_T2_1512_PAST,Healthy,1_14_2025,57.6,UML_NARWHAL_R2_B15,,,2_63,10_14_2025,12_18_2025,
,062019_BEL_CBC_T2_23_MCAV,Healthy,12_2_2024,3.33,UML_NARWHAL_R2_B14,,,2_55,10_14_2025,12_18_2025,
,122023_BEL_CBC_T1_510_PSTR,Healthy,11_18_2024,57.8,UML_NARWHAL_R2_B13,,,1_12,10_14_2025,12_18_2025,
,022024_BEL_CBC_T2_815_OFAV,Healthy,11_22_2024,60.2,UML_NARWHAL_R2_B13,,,2_79,10_14_2025,12_18_2025,
,062024_BEL_CBC_T3_1424_PAST,Healthy,12_5_2024,5.1,UML_NARWHAL_R2_B15,,,3_10,10_14_2025,12_18_2025,
,112023_BEL_CBC_T2_305_PAST,Healthy,11_13_2024,9.24,UML_NARWHAL_R2_B12,,,2_68,10_14_2025,12_18_2025,
,022024_BEL_CBC_T2_809_MCAV,Healthy,11_22_2024,52.6,UML_NARWHAL_R2_B13,,,2_69,10_14_2025,12_18_2025,
,042024_BEL_CBC_T3_944_SSID,Healthy,12_3_2024,64.6,UML_NARWHAL_R2_B14,,,3_33,10_14_2025,12_18_2025,
,122023_BEL_CBC_T3_529_MCAV,Healthy,11_19_2024,34.8,UML_NARWHAL_R2_B13,,,3_14,10_14_2025,12_18_2025,
,122023_BEL_CBC_T4_535_MCAV,Healthy,11_19_2024,22.6,UML_NARWHAL_R2_B13,,,4_28,10_14_2025,12_18_2025,
,042024_BEL_CBC_T2_1027_PAST,Healthy,12_2_2024,14.7,UML_NARWHAL_R2_B14,,,2_68,10_14_2025,12_18_2025,
,052022_BEL_CBC_T1_1_PAST,Healthy,2022,39.8,"UML_NARWHAL_R2_B32,  UML_NARWHAL_R2_B35",11_5_2024,UML_NARWHAL_R6_B27,1_2,10_14_2025,12_18_2025,
,092023_BEL_CBC_T1_173_SSID,Healthy,11_8_2024,19.9,UML_NARWHAL_R2_B12,,,1_3,10_14_2025,12_18_2025,
