"","Tubelabel_species","Date_Extracted","Raw_ng_ul","Date_Enriched","Microbe_Location","Month_year","colony","CollectionDate","Species","Health_status","Sample_physical_location","Extraction_physical_location","immune_y.n","Condition"
"74","102019_BEL_CBC_T1_26_PSTR","5_25_2023","23.1","10_17_2023","UML_NARWHAL_R2_B1","102019","1_417","10/15/19","PSTR","Healthy","UML_NARWHAL_R1_B2","UML_NARWHAL_R2_B3","n",""
"75","102019_BEL_CBC_T1_27_PSTR","5_30_2023","19.1","10_17_2023","UML_NARWHAL_R2_B1","102019","1_6","10/15/19","PSTR","Healthy","UML_NARWHAL_R1_B2","UML_NARWHAL_R2_B3","n","Healthy"
"76","102019_BEL_CBC_T1_28_PSTR","5_30_2023","7.2","10_17_2023","UML_NARWHAL_R2_B1","102019","1_404","10/15/19","PSTR","Healthy","UML_NARWHAL_R1_B2","","n","Healthy"
"77","102019_BEL_CBC_T1_30_PSTR","6_1_2023","8.6","9_27_2023","UML_NARWHAL_R2_B1","102019","1_422","10/15/19","PSTR","Healthy","UML_NARWHAL_R1_B2"," UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B3","n",""
"78","102019_BEL_CBC_T1_31_PSTR","6_1_2023","13.2","9_27_2023","UML_NARWHAL_R2_B1","102019","1_419","10/15/19","PSTR","Healthy","UML_NARWHAL_R1_B2"," UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B3","n","Healthy"
"79","102019_BEL_CBC_T2_33_PSTR","6_6_2023","19","9_28_2023","UML_NARWHAL_R6_B1","102019","2_427","10/13/19","PSTR","Healthy","UML_NARWHAL_R1_B2","UML_NARWHAL_R2_B3","n","Healthy"
"80","102019_BEL_CBC_T2_35_PSTR","7_12_2024","19","8_6_2024","UML_NARWHAL_R6_B27","102019","2_70","10/13/19","PSTR","Healthy","UML_NARWHAL_R1_B2","UML_NARWHAL_R2_B26","n","Healthy"
"81","102019_BEL_CBC_T2_36_PSTR","6_6_2023","26.7","9_28_2023","UML_NARWHAL_R6_B1","102019","2_403","10/13/19","PSTR","Healthy","UML_NARWHAL_R1_B2","UML_NARWHAL_R2_B3","n",""
"82","102019_BEL_CBC_T3_34_PSTR","6_6_2023","7.5","10_4_2023","UML_NARWHAL_R6_B1","102019","3_30","10/14/19","PSTR","Healthy","UML_NARWHAL_R1_B2","UML_NARWHAL_R2_B3","n",""
"83","102019_BEL_CBC_T3_36_PSTR","6_6_2023","14.8","10_4_2023","UML_NARWHAL_R6_B1","102019","3_16","10/14/19","PSTR","Healthy","UML_NARWHAL_R1_B2","UML_NARWHAL_R2_B3","n","Healthy"
